"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
1162020,116,2020,"AL0050700","AL0050700","","N","N",,"I","SILVERHILL","SILVERHILL PD","Silverhill","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1238,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,2,1,3,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BALDWIN","Daphne-Fairhope-Foley, AL","Y","Y","Y"
1192020,119,2020,"AL0051000","AL0051000","","N","N",,"I","ELBERTA","ELBERTA PD","Elberta","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1775,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",10,0,10,0,1,1,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BALDWIN","Daphne-Fairhope-Foley, AL","Y","Y","Y"
1202020,120,2020,"AL0051100","AL0051100","","N","N",,"I","COASTAL ALABAMA COMMUNITY COLLEGE","FAULKNER STATE COMMUNITY COLLEGE","Coastal Alabama Community College","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","University or College",0,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",9,0,9,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BALDWIN","Daphne-Fairhope-Foley, AL","Y","Y","Y"
1232020,123,2020,"AL0060000","AL0060000","","N","N",,"I","BARBOUR","BARBOUR CO SO CLAYTON","Barbour","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",8059,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",10,9,19,1,11,12,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BARBOUR","Non-MSA","Y","Y","Y"
1252020,125,2020,"AL0060200","AL0060200","","N","N",,"I","CLAYTON","CLAYTON PD","Clayton","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2831,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",4,0,4,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BARBOUR","Non-MSA","Y","Y","Y"
1302020,130,2020,"AL0070100","AL0070100","","N","N",,"I","CENTREVILLE","CENTREVILLE PD","Centreville","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2591,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BIBB","Birmingham-Hoover, AL","Y","Y","Y"
1312020,131,2020,"AL0070200","AL0070200","","N","N",,"I","BRENT","BRENT PD","Brent","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",4725,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BIBB","Birmingham-Hoover, AL","Y","Y","Y"
1322020,132,2020,"AL0070300","AL0070300","","N","N",,"I","WEST BLOCTON","WEST BLOCTON PD","West Blocton","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1248,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BIBB","Birmingham-Hoover, AL","Y","Y","Y"
1332020,133,2020,"AL0070400","AL0070400","","N","N",,"I","WOODSTOCK","WOODSTOCK POLICE DEPARTMENT","Woodstock","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1663,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","TUSCALOOSA; BIBB","Birmingham-Hoover, AL; Tuscaloosa, AL","Y","Y","Y"
1352020,135,2020,"AL0080100","AL0080100","","N","N",,"I","ONEONTA","ONEONTA PD","Oneonta","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",6576,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",26,0,26,0,1,1,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BLOUNT","Birmingham-Hoover, AL","Y","Y","Y"
1442020,144,2020,"AL0100200","AL0100200","","N","N",,"I","GEORGIANA","GEORGIANA PD","Georgiana","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1594,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,3,3,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","BUTLER","Non-MSA","Y","Y","Y"
1502020,150,2020,"AL0110400","AL0110400","","N","N",,"I","WEAVER","WEAVER PD","Weaver","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",3060,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,0,3,3,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CALHOUN","Anniston-Oxford, AL","Y","Y","Y"
1562020,156,2020,"AL0120100","AL0120100","","N","N",,"I","LAFAYETTE","LAFAYETTE PD","LaFayette","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2901,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,0,1,1,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CHAMBERS","Non-MSA","Y","Y","Y"
1572020,157,2020,"AL0120200","AL0120200","","N","N",,"I","LANETT","LANETT PD","Lanett","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",6117,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",25,1,26,4,1,5,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CHAMBERS","Non-MSA","Y","Y","Y"
1582020,158,2020,"AL0120400","AL0120400","","N","N",,"I","VALLEY","VALLEY PD FAIRFAX","Valley","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",9101,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",25,0,25,2,2,4,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CHAMBERS","Non-MSA","Y","Y","Y"
1682020,168,2020,"AL0150000","AL0150000","","N","N",,"I","CHOCTAW","CHOCTAW CO SO BUTLER","Choctaw","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",10576,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",7,0,7,0,2,2,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CHOCTAW","Non-MSA","Y","Y","Y"
1692020,169,2020,"AL0150100","AL0150100","","N","N",,"I","BUTLER","BUTLER PD","Butler","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1698,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CHOCTAW","Non-MSA","Y","Y","Y"
1702020,170,2020,"AL0150200","AL0150200","","N","N",,"I","GILBERTOWN","GILBERTOWN PD","Gilbertown","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",191,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,1,3,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CHOCTAW","Non-MSA","Y","Y","Y"
1822020,182,2020,"AL0170200","AL0170200","","N","N",,"I","LINEVILLE","LINEVILLE PD","Lineville","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2231,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,0,7,0,4,4,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CLAY","Non-MSA","Y","Y","Y"
1852020,185,2020,"AL0180200","AL0180200","","N","N",,"I","RANBURNE","RANBURNE PD","Ranburne","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",397,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,1,1,0,0,01-JAN-06,01-FEB-20,01-FEB-20,01-JUN-20,,01-JUN-20,"N","CLEBURNE","Non-MSA","Y","Y","Y"
1922020,192,2020,"AL0200000","AL0200000","","N","N",,"I","COLBERT","COLBERT CO SO TUSCUMBIA","Colbert","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",20543,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",25,0,25,2,6,8,0,0,01-JAN-06,01-MAR-20,01-MAR-20,01-JUN-20,,01-JUN-20,"N","COLBERT","Florence-Muscle Shoals, AL","Y","Y","Y"
1932020,193,2020,"AL0200100","AL0200100","","N","N",,"I","SHEFFIELD","SHEFFIELD PD","Sheffield","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",8886,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",28,0,28,1,2,3,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","COLBERT","Florence-Muscle Shoals, AL","Y","Y","Y"
1942020,194,2020,"AL0200200","AL0200200","","N","N",,"I","TUSCUMBIA","TUSCUMBIA PD","Tuscumbia","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",8446,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",20,3,23,1,4,5,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","COLBERT","Florence-Muscle Shoals, AL","Y","Y","Y"
1962020,196,2020,"AL0200400","AL0200400","","N","N",,"I","CHEROKEE","CHEROKEE PD","Cherokee","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1004,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","COLBERT","Florence-Muscle Shoals, AL","Y","Y","Y"
1992020,199,2020,"AL0210000","AL0210000","","N","N",,"I","CONECUH","CONECUH CO SO EVERGREEN","Conecuh","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",7674,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",9,15,24,0,14,14,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CONECUH","Non-MSA","Y","Y","Y"
2002020,200,2020,"AL0210100","AL0210100","","N","N",,"I","EVERGREEN","EVERGREEN PD","Evergreen","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",3482,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",19,4,23,0,2,2,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CONECUH","Non-MSA","Y","Y","Y"
2012020,201,2020,"AL0210200","AL0210200","","N","N",,"I","CASTLEBERRY","CASTLEBERRY","Castleberry","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",534,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",0,0,0,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CONECUH","Non-MSA","Y","Y","Y"
2032020,203,2020,"AL0220100","AL0220100","","N","N",,"I","GOODWATER","GOODWATER PD","Goodwater","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1298,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,1,5,0,3,3,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","COOSA","Non-MSA","Y","Y","Y"
2052020,205,2020,"AL0230000","AL0230000","","N","N",,"I","COVINGTON","COVINGTON CO SO ANDALUSIA","Covington","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",18359,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",23,3,26,1,5,6,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","COVINGTON","Non-MSA","Y","Y","Y"
2072020,207,2020,"AL0230200","AL0230200","","N","N",,"I","OPP","OPP PD","Opp","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",6361,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",20,4,24,1,4,5,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","COVINGTON","Non-MSA","Y","Y","Y"
2092020,209,2020,"AL0230400","AL0230400","","N","N",,"I","GANTT","GANTT PD","Gantt","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",215,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,2,2,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","COVINGTON","Non-MSA","Y","Y","Y"
2122020,212,2020,"AL0230700","AL0230700","","N","N",,"I","RIVER FALLS","RIVER FALLS","River Falls","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",536,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-06,01-MAR-20,01-MAR-20,01-JUN-20,,,"N","COVINGTON","Non-MSA","Y","Y","Y"
2142020,214,2020,"AL0240000","AL0240000","","N","N",,"I","CRENSHAW","CRENSHAW CO SO LUVERNE","Crenshaw","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",9951,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",10,0,10,0,2,2,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CRENSHAW","Non-MSA","Y","Y","Y"
2152020,215,2020,"AL0240100","AL0240100","","N","N",,"I","LUVERNE","LUVERNE PD","Luverne","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2737,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,1,2,3,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CRENSHAW","Non-MSA","Y","Y","Y"
2292020,229,2020,"AL0260500","AL0260500","","N","N",,"I","NEWTON","NEWTON PD","Newton","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1450,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",6,0,6,2,2,4,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","DALE","Non-MSA","Y","Y","Y"
2302020,230,2020,"AL0260600","AL0260600","","N","N",,"I","MIDLAND CITY","MIDLAND CITY PD","Midland City","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2377,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","DALE","Non-MSA","Y","Y","Y"
2342020,234,2020,"AL0270000","AL0270000","","N","N",,"I","DALLAS","DALLAS CO SO SELMA","Dallas","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",19672,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",26,8,34,1,12,13,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,,"N","DALLAS","Non-MSA","Y","Y","Y"
2362020,236,2020,"AL0280000","AL0280000","","N","N",,"I","DEKALB","DE KALB CO SO FORT PAYNE","DeKalb","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","County",39243,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",39,34,73,3,23,26,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","DEKALB","Non-MSA","Y","Y","Y"
2382020,238,2020,"AL0280200","AL0280200","","N","N",,"I","COLLINSVILLE","COLLINSVILLE PD","Collinsville","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2012,23354,"ALUCR0001","Alabama Law Enforcement Agency","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,2,4,2,2,4,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","CHEROKEE; DEKALB","Non-MSA","Y","Y","Y"
